guess,guess_pool_shrink,solution_pool_shrink
SEPIA,0.9528726101541849,0.9399806875061226
TEADS,0.9528682811758037,0.9460759718056249
ALINE,0.9528513315604503,0.9529028917427427
SCART,0.9528485343744192,0.9441997676902911
SLIDE,0.952834548444265,0.9402268051817192
FARSE,0.9528106724635016,0.9450795590780384
CARTE,0.9527901597659421,0.956512555453447
PROSE,0.9527550950410553,0.9418962629857863
LASED,0.9527425410037502,0.9460938848434243
SORDA,0.9527357145378418,0.9406802289510144
EYRAS,0.9527084752738746,0.9480816722567161
REAMS,0.9526871633803062,0.945511524520803
TEILS,0.9526867304824679,0.9491118585243202
PAIRE,0.9526819353064151,0.9527021164440754
SEWAR,0.9526655517882344,0.941878163353843
SKEAR,0.9526640532957177,0.9398064085758668
URAEI,0.9526563610341331,0.9534738698225955
SIENT,0.9526316858573609,0.9424959765637756
LEANT,0.9526108068616306,0.9556387350782994
DATES,0.9526009168110214,0.9471235113285968
MARES,0.9525695483676757,0.9471957232622255
ONERS,0.9525439407955597,0.946653294086365
SNEAD,0.9525327853512698,0.9406283557790538
RAYLE,0.952498752921228,0.952916326521092
RENTS,0.9524986197218931,0.9501362603734681
IRONE,0.9524693158682367,0.9510947944898751
STENO,0.9524533652478938,0.9416331652431089
ANILE,0.9524332521483388,0.9526918537661695
HANSE,0.9524021168038287,0.944021943471304
PRISE,0.9523919936543838,0.9421621596406199
SENTI,0.9523178016248987,0.9428264347923441
STRAY,0.95231520423787,0.9418908517556179
LARNS,0.9523027168002324,0.9485196087120805
RINES,0.9522990205186915,0.949523298611273
TARNS,0.9522918277546121,0.9496391735745374
APRES,0.9522732131475735,0.9469652794947031
SNARY,0.9522718145545582,0.939601714800181
BRAES,0.9522387811195271,0.9465527198428877
PASTE,0.9522362170323321,0.9431606249037874
TRAIL,0.9522218648040071,0.9545312988351861
LOTSA,0.9522208658089961,0.9459158740302935
NERTS,0.9522136397450831,0.949952838330169
STAIN,0.9522069464785092,0.9403507036931645
NEIST,0.9521141065421519,0.9436718928576427
LOUSE,0.9520545997393289,0.9432412335738842
SIDLE,0.9520407803083429,0.9398569755888212
LEASH,0.9520407137086758,0.944609715024094
TACES,0.9520292252660492,0.9490704346244094
RHEAS,0.952019468414775,0.9470716381566364
SEPAL,0.9520154391348971,0.9409993049368145
HORSE,0.9519914299547987,0.9437819834024508
CATES,0.951990197860952,0.9490472969505852
