guess,avg_correct,avg_present,avg_absent,avg_tile_score,guess_pool_shrink,solution_pool_shrink
ACNED,0.3265658747300216,1.1131749460043197,3.5602591792656586,1.766306695464363,0.9290351572984245,0.9327148981429216
ACNES,0.2911447084233261,1.2557235421166306,3.4531317494600433,1.838012958963283,0.948149761340092,0.9446744631919728
ACOCK,0.2980561555075594,0.8596112311015118,3.8423326133909286,1.4557235421166306,0.8403415497343005,0.8381821998516576
ACOLD,0.3045356371490281,1.0120950323974083,3.6833693304535635,1.6211663066954645,0.9209425651128298,0.9232909609131916
ACORN,0.30539956803455726,1.1706263498920086,3.523974082073434,1.7814254859611232,0.9354763441311374,0.9390956714823506
ACRED,0.3369330453563715,1.2267818574514038,3.4362850971922247,1.900647948164147,0.9385054302038816,0.9426096123973148
ACRES,0.301511879049676,1.369330453563715,3.329157667386609,1.972354211663067,0.9550760601501558,0.95280455662899
ACRID,0.2678185745140389,1.1192224622030238,3.6129589632829373,1.6548596112311016,0.9252713103950756,0.9288145207562659
ACROS,0.22116630669546436,1.2842332613390928,3.4946004319654427,1.7265658747300217,0.9457321934134258,0.9419072720402668
ACTED,0.3144708423326134,1.1758099352051836,3.509719222462203,1.8047516198704103,0.9349856377817248,0.9391393345119864
ACTIN,0.2505399568034557,1.1408207343412526,3.6086393088552917,1.6419006479481641,0.9238264639106392,0.9303899351118864
ACTON,0.23930885529157667,1.1632829373650109,3.5974082073434124,1.6419006479481641,0.9263332420917891,0.9323937696215404
ACTOR,0.27473002159827214,1.2518358531317495,3.4734341252699785,1.8012958963282937,0.939015283957672,0.9442960502684624
ACUTE,0.39265658747300214,1.1352051835853132,3.4721382289416844,1.9205183585313175,0.9382339033598864,0.9417014586997188
ACYLS,0.17624190064794817,1.1369330453563715,3.68682505399568,1.489416846652268,0.9270176868736716,0.9221680373561476
ADAGE,0.41814254859611233,1.1127429805615552,3.4691144708423325,1.9490280777537796,0.886335879438618,0.8808322098810929
ADAPT,0.3330453563714903,1.0496760259179265,3.6172786177105833,1.7157667386609072,0.8672054246761092,0.8668822451007375
ADAWS,0.22850971922246222,1.0673866090712743,3.7041036717062634,1.5244060475161987,0.860221783552413,0.8334135999141666
ADAYS,0.21900647948164148,1.1732181425485961,3.6077753779697623,1.611231101511879,0.8853670207770983,0.8623631215334306
ADBOT,0.260475161987041,0.9861771058315335,3.7533477321814255,1.5071274298056156,0.9100979081710464,0.9096710811731176
ADDAX,0.1758099352051836,0.9451403887688985,3.879049676025918,1.2967602591792657,0.6752166986678069,0.6641348329282685
ADDED,0.29028077753779696,1.038012958963283,3.67170626349892,1.618574514038877,0.8350911316548886,0.8336729657739692
ADDER,0.3308855291576674,1.1991360691144708,3.469978401727862,1.8609071274298057,0.9085172649647788,0.9101700339134856
ADDIO,0.19524838012958964,1.087257019438445,3.7174946004319653,1.4777537796976241,0.8767162567790137,0.8715814320167561
ADDLE,0.3550755939524838,1.0933045356371491,3.551619870410367,1.8034557235421167,0.9049778256407388,0.9035250432665172
ADEEM,0.301511879049676,1.2920086393088552,3.4064794816414685,1.8950323974082073,0.8821265140601888,0.8795420979712552
ADEPT,0.27688984881209505,1.169330453563715,3.55377969762419,1.723110151187905,0.9294592639804355,0.9313146956882756
ADHAN,0.2,1.1464362850971923,3.6535637149028077,1.5464362850971922,0.8485066023580278,0.8526725412722921
ADIEU,0.3222462203023758,1.1632829373650109,3.514470842332613,1.8077753779697625,0.9343169771210162,0.9319063857180842
ADIOS,0.2570194384449244,1.1326133909287257,3.61036717062635,1.6466522678185744,0.9408736144771692,0.9292418213454372
ADITS,0.26004319654427643,1.1269978401727863,3.6129589632829373,1.6470842332613391,0.9403641270215496,0.930930125158022
ADMAN,0.2224622030237581,1.0889848812095033,3.6885529157667385,1.5339092872570195,0.8417724768882504,0.8379741473813844
ADMEN,0.2894168466522678,1.0855291576673867,3.6250539956803456,1.6643628509719222,0.9226660646056734,0.9224639756681234
ADMIN,0.2203023758099352,0.9779697624190065,3.801727861771058,1.4185745140388768,0.9003743900302961,0.8967067066600113
ADMIT,0.2734341252699784,0.975377969762419,3.7511879049676025,1.5222462203023759,0.9123098496246108,0.9111423759965293
ADMIX,0.16760259179265657,0.8090712742980561,4.023326133909287,1.1442764578833693,0.84926986784628,0.8413136227719493
ADOBE,0.36846652267818575,1.0462203023758099,3.585313174946004,1.7831533477321815,0.9286362585905246,0.9249223535119352
ADOBO,0.21036717062634988,1.038876889848812,3.750755939524838,1.459611231101512,0.8452237049528175,0.8378537941586703
ADOPT,0.30583153347732184,0.9749460043196544,3.7192224622030237,1.586609071274298,0.9197535612507152,0.9202427589810094
ADORE,0.42375809935205183,1.2371490280777537,3.3390928725701943,2.0846652267818575,0.951274284736222,0.9498638329236038
ADORN,0.2967602591792657,1.1455723542116631,3.5576673866090713,1.7390928725701944,0.934379714007708,0.9343018813354544
ADOWN,0.24190064794816415,0.9226781857451404,3.8354211663066953,1.4064794816414687,0.892363615536104,0.8901247848336279
ADOZE,0.3667386609071274,0.947732181425486,3.6855291576673865,1.6812095032397407,0.913523062465826,0.9084128768618596
ADRAD,0.2613390928725702,1.205183585313175,3.533477321814255,1.7278617710583153,0.8197553594417349,0.8221005835731845
ADRED,0.3282937365010799,1.2017278617710583,3.469978401727862,1.8583153347732182,0.9093136637875632,0.9122358176788622
